GEOID,tract_name,population
17031804710,Census Tract 8047.10,4292
17031810800,Census Tract 8108,5124
17031816401,Census Tract 8164.01,4664
17031816402,Census Tract 8164.02,4460
17197880105,Census Tract 8801.05,7471
17173959300,Census Tract 9593,4935
17173959400,Census Tract 9594,3333
17173959500,Census Tract 9595,3463
17173959200,Census Tract 9592,2775
17173959600,Census Tract 9596,3040
17173959100,Census Tract 9591,3444
17031440800,Census Tract 4408,1620
17031827100,Census Tract 8271,2265
17031827200,Census Tract 8272,3693
17031381800,Census Tract 3818,1462
17031381900,Census Tract 3819,1106
17031390100,Census Tract 3901,1553
17031390200,Census Tract 3902,1883
17031390300,Census Tract 3903,2617
17031440700,Census Tract 4407,1497
17031750400,Census Tract 7504,2909
17031750500,Census Tract 7505,5618
17001001001,Census Tract 10.01,3245
17149952700,Census Tract 9527,4362
17031820000,Census Tract 8200,2230
17031827400,Census Tract 8274,3230
17031803500,Census Tract 8035,5803
17031803604,Census Tract 8036.04,4209
17031825501,Census Tract 8255.01,5766
17031810302,Census Tract 8103.02,3360
17031810400,Census Tract 8104,5409
17031620100,Census Tract 6201,4567
17031620200,Census Tract 6202,2390
17031620300,Census Tract 6203,6410
17031821101,Census Tract 8211.01,4876
17031291200,Census Tract 2912,2286
17031421200,Census Tract 4212,1405
17031806001,Census Tract 8060.01,5818
17031243100,Census Tract 2431,2249
17031242900,Census Tract 2429,1962
17031243000,Census Tract 2430,2234
17031711000,Census Tract 7110,3058
17001000900,Census Tract 9,2572
17031440600,Census Tract 4406,1996
17031440900,Census Tract 4409,2462
17031819600,Census Tract 8196,4083
17031827000,Census Tract 8270,2968
17031680500,Census Tract 6805,1307
17031803400,Census Tract 8034,6592
17031750200,Census Tract 7502,3024
17031750300,Census Tract 7503,2470
17031819802,Census Tract 8198.02,2741
17031221400,Census Tract 2214,3385
17031819900,Census Tract 8199,3514
17043845602,Census Tract 8456.02,4965
17031460400,Census Tract 4604,3411
17031460500,Census Tract 4605,5400
17031461000,Census Tract 4610,1460
17031650400,Census Tract 6504,6894
17031431200,Census Tract 4312,2898
17031611500,Census Tract 6115,3587
17031611900,Census Tract 6119,1984
17031681200,Census Tract 6812,2353
17031290900,Census Tract 2909,3975
17031710900,Census Tract 7109,1942
17031612000,Census Tract 6120,1448
17031612100,Census Tract 6121,1168
17031221000,Census Tract 2210,2432
17031221100,Census Tract 2211,4440
17031242800,Census Tract 2428,1507
17031807500,Census Tract 8075,3327
17197880124,Census Tract 8801.24,3940
17043844308,Census Tract 8443.08,2383
17089854402,Census Tract 8544.02,3726
17089853601,Census Tract 8536.01,3002
17031807300,Census Tract 8073,7718
17031807400,Census Tract 8074,6824
17043842706,Census Tract 8427.06,4787
17031080100,Census Tract 801,6388
17031080300,Census Tract 803,5499
17031080400,Census Tract 804,4569
17001000600,Census Tract 6,3590
17001000700,Census Tract 7,1243
17199020201,Census Tract 202.01,5552
17031160800,Census Tract 1608,4997
17001001002,Census Tract 10.02,3109
17101880900,Census Tract 8809,2711
17101880800,Census Tract 8808,4948
17031250600,Census Tract 2506,4203
17031250700,Census Tract 2507,5932
17197883218,Census Tract 8832.18,4279
17111870905,Census Tract 8709.05,4683
